rep,psi,cond,model,corr,lr,conv
61,0.0,none,CLF,-0.10864540396452939,1.05210341393086,True
61,0.0,none,FAMF,0.026713126980059617,0.18009043062541075,True
62,0.0,none,Baseline,0.02810873577142281,0.20417795760941715,True
62,0.0,none,CLF,-0.10009070032068447,1.0122251122511923,True
62,0.0,none,FAMF,0.056516108572776294,0.7679540280691253,True
63,0.0,none,Baseline,-0.00022069515023918763,0.0,True
63,0.0,none,CLF,-0.0003520846601430434,0.0,True
63,0.0,none,FAMF,5.2260356428993035e-05,0.0,True
64,0.0,none,Baseline,0.1089089323937903,3.0709303317497216,True
64,0.0,none,CLF,0.1089546214443554,1.5819409012695953,True
64,0.0,none,FAMF,0.10893197905565406,3.0708259781481075,True
65,0.0,none,Baseline,-0.09747459780457247,2.433841663830531,True
65,0.0,none,CLF,-0.09728927635476844,2.4339889594354087,True
65,0.0,none,FAMF,-0.08813848156805712,1.917572078924529,True
66,0.0,none,Baseline,0.06187739387725283,1.0073265592394165,True
66,0.0,none,CLF,0.06187841020957255,0.8597244183626707,True
66,0.0,none,FAMF,0.06335664170354359,1.048093698219862,True
67,0.0,none,Baseline,-0.03615682843312817,0.3358952849073855,True
67,0.0,none,CLF,-0.036063480759085824,0.336116821251748,True
67,0.0,none,FAMF,-0.021522384720163237,0.11257323144538312,True
68,0.0,none,Baseline,0.061313136454438984,0.9489038525628768,True
68,0.0,none,CLF,-0.050216157052700716,0.1062479605464155,True
68,0.0,none,FAMF,0.08618934166693745,1.7381658645890585,True
69,0.0,none,Baseline,-0.03728426407205533,0.3624602443558995,True
69,0.0,none,CLF,-0.037318604366452464,0.3625774968982505,True
69,0.0,none,FAMF,-0.03733117364939629,0.3626488613626613,True
70,0.0,none,Baseline,0.09572297866831184,2.346932342511442,True
70,0.0,none,CLF,0.09591662779393058,2.2860817602447643,True
70,0.0,none,FAMF,0.0957369418176297,2.34678936691809,True
71,0.0,none,Baseline,0.013372678406707904,0.04553182038848291,True
71,0.0,none,CLF,0.013430448163031402,0.04549559674926584,True
71,0.0,none,FAMF,0.013445397607012148,0.045760133635461386,True
72,0.0,none,Baseline,0.09500395662787782,2.3661333346673743,True
72,0.0,none,CLF,-0.05228675771426729,0.1158280600103847,True
72,0.0,none,FAMF,0.09508037964732434,2.3661928184583516,True
73,0.0,none,Baseline,-0.05005062962228728,0.6322796373456292,True
73,0.0,none,CLF,-0.3442774052266372,5.831075444767327,True
73,0.0,none,FAMF,-0.050112964644156724,0.6323392172186804,True
74,0.0,none,Baseline,0.05486451400341229,0.7591506153418344,True
74,0.0,none,CLF,0.05387124559360583,0.23780764222631134,True
74,0.0,none,FAMF,0.05490358640096438,0.7587872413686299,True
75,0.0,none,Baseline,0.10603695349794492,3.008152101785697,True
75,0.0,none,CLF,0.10609769401780955,1.493433176987912,True
75,0.0,none,FAMF,0.10658279936351085,3.0119550364192804,True
76,0.0,none,Baseline,0.006025069688851297,0.0054253319745125594,True
76,0.0,none,CLF,0.005906290874258585,0.009556012738471509,True
76,0.0,none,FAMF,0.005769653679025996,0.009143863541069663,True
77,0.0,none,Baseline,-0.09909822414125824,2.5455210273436712,True
77,0.0,none,CLF,-0.10854687749871807,2.5562395077922684,True
77,0.0,none,FAMF,-0.09921608796579655,2.4761794800209884,True
78,0.0,none,Baseline,0.05631431502316515,0.8315503875069261,True
78,0.0,none,CLF,0.05634587831434208,0.8267048479909214,True
78,0.0,none,FAMF,0.05682457506850819,0.8357814347768802,True
79,0.0,none,Baseline,-0.006836152177357113,0.012360403710617973,True
79,0.0,none,CLF,-0.08617758432123686,0.5804807632888753,True
79,0.0,none,FAMF,-0.006723755265060015,0.012114892582925307,True
80,0.0,none,Baseline,0.046933401888703576,0.5576384691694987,True
80,0.0,none,CLF,0.04676483946513557,0.2892835552190647,True
80,0.0,none,FAMF,0.05242916226776823,0.6677862637145164,True
81,0.0,none,Baseline,-0.013015562913168957,0.04408493550385728,True
81,0.0,none,CLF,-0.012874401683397653,0.043976798510117376,True
81,0.0,none,FAMF,-0.012932577461194415,0.044265161440741,True
82,0.0,none,Baseline,-0.0017586797899959135,0.0008199120392120562,True
82,0.0,none,CLF,-0.14226301238801098,1.5234845254455056,True
82,0.0,none,FAMF,-0.0016166547353698955,0.0008409250906638022,True
83,0.0,none,Baseline,-0.03070514429183253,0.24577664046990222,True
83,0.0,none,CLF,-0.03584505637619755,0.24889039703520766,True
83,0.0,none,FAMF,-0.03085758012354705,0.2442788171953545,True
84,0.0,none,Baseline,0.029316311880001313,0.2259251776682092,True
84,0.0,none,CLF,0.029402551859734342,0.22588069184169512,True
84,0.0,none,FAMF,0.049614712560840865,0.6209021104658223,True
85,0.0,none,Baseline,0.07223691787055112,1.381432869499621,True
85,0.0,none,CLF,0.001272883851405691,6.496279341483557e-05,True
85,0.0,none,FAMF,0.0722523976579647,1.381418735317256,True
86,0.0,none,Baseline,-0.0011252226330931592,0.0004684151856455543,True
86,0.0,none,CLF,-0.0012122816332482721,7.788534184882678e-05,True
86,0.0,none,FAMF,-0.001157179335690901,0.00048511985414734227,True
87,0.0,none,Baseline,0.007977828329070265,0.016619768390441436,True
87,0.0,none,CLF,0.007961810878290794,0.016635146989717242,True
87,0.0,none,FAMF,0.007928124092781534,0.01668001653638207,True
88,0.0,none,Baseline,0.0359248255078685,0.33613700946254177,True
88,0.0,none,CLF,0.03608889863425386,0.33613397137000334,True
88,0.0,none,FAMF,0.03598218982344242,0.3361926819425083,True
89,0.0,none,Baseline,-0.041150531482126065,0.44182211903153856,True
89,0.0,none,CLF,-0.15131023321577544,2.672110477872746,True
89,0.0,none,FAMF,-0.04125384405012315,0.4416325927242468,True
90,0.0,none,Baseline,-0.017447800899108797,0.07903876305680058,True
90,0.0,none,CLF,-0.09401553448519037,0.48466256744890224,True
90,0.0,none,FAMF,-0.010414456839717747,0.027435581386285435,True
91,0.0,none,Baseline,-0.05772041639442991,0.84906888525399,True
91,0.0,none,CLF,-0.0753105259258213,0.9248171909086835,True
91,0.0,none,FAMF,-0.05775876595475454,0.8490229928776092,True
92,0.0,none,Baseline,0.12134938331063817,3.798939580258809,True
92,0.0,none,CLF,0.12159230906169231,2.28526660981454,True
92,0.0,none,FAMF,0.1226765386424897,3.8150265770992835,True
93,0.0,none,Baseline,0.041660871041705405,0.45986513232310244,True
93,0.0,none,CLF,0.041700617348905226,0.4609672360243131,True
93,0.0,none,FAMF,0.04305647814455769,0.4788598004571103,True
94,0.0,none,Baseline,0.0013114025525967849,0.000278214376894681,True
94,0.0,none,CLF,0.0011402309075505873,0.0003290524707519893,True
94,0.0,none,FAMF,0.001888652909895665,0.0008352372449813572,True
95,0.0,none,Baseline,0.025433667860175695,0.16675985465319165,True
95,0.0,none,CLF,-0.01883624260178963,0.03216490057207899,True
95,0.0,none,FAMF,0.02534349780583612,0.16684117845549018,True
96,0.0,none,Baseline,-0.03622548507733372,0.3407273866617171,True
96,0.0,none,CLF,-0.03572766515793035,0.3404965981348411,True
96,0.0,none,FAMF,-0.029852802186017536,0.23278072059909682,True
97,0.0,none,Baseline,-0.05465826356361486,0.7634899709233274,True
97,0.0,none,CLF,-0.05466831411360628,0.7635005721454071,True
97,0.0,none,FAMF,-0.05477703518993434,0.7635070485087816,True
98,0.0,none,Baseline,0.006277492528569011,0.010010209950042537,True
98,0.0,none,CLF,-0.16065732596607088,1.4962050221289651,True
98,0.0,none,FAMF,0.00639476839088639,0.009987800090192067,True
99,0.0,none,Baseline,0.048554975444165024,0.6028889669644251,True
99,0.0,none,CLF,0.020877767353274953,0.03033124780306551,True
99,0.0,none,FAMF,0.048073983082062365,0.601317570142962,True
100,0.0,none,Baseline,-0.01692772169798795,0.07397571943285008,True
100,0.0,none,CLF,-0.016930691405485185,0.07332377769422038,True
100,0.0,none,FAMF,-0.017028436248178395,0.07360825809717397,True
101,0.0,none,Baseline,0.1535512983252386,6.219195495720493,True
101,0.0,none,CLF,0.1519075647496249,2.232054533327659,True
101,0.0,none,FAMF,0.16777949592463212,7.190609174355311,True
102,0.0,none,Baseline,0.04286308372143234,0.48204357647323093,True
102,0.0,none,CLF,0.04295585278665797,0.2663952973579313,True
102,0.0,none,FAMF,0.05112725031991528,0.6647472375327723,True
103,0.0,none,Baseline,0.06904654666108148,1.246813587111932,True
103,0.0,none,CLF,0.06903770870987892,1.242423382482011,True
103,0.0,none,FAMF,0.06905703995294692,1.2466816329643606,True
104,0.0,none,Baseline,-0.0011822738575567213,0.000536765068549272,True
104,0.0,none,CLF,-0.0011828752274119208,0.00038236838384264615,True
104,0.0,none,FAMF,-0.0010292790510875254,9.728873427583551e-05,True
105,0.0,none,Baseline,-0.024821619584381848,0.16100040199418508,True
105,0.0,none,CLF,-0.11583794099611117,1.113767224592186,True
105,0.0,none,FAMF,-0.025278154872536443,0.16085189711890813,True
106,0.0,none,Baseline,0.10726894858321227,2.996955504424701,True
106,0.0,none,CLF,0.01611471083463908,0.02320533542205716,True
106,0.0,none,FAMF,0.11060645597295996,3.1318756827984373,True
107,0.0,none,Baseline,0.0010596516244943798,3.2726987026165943e-05,True
107,0.0,none,CLF,0.0006751899787320753,0.001806456708292714,True
107,0.0,none,FAMF,0.0006342465801168033,0.0005798769906135703,True
108,0.0,none,Baseline,0.07381946978369969,1.4295646262903698,True
108,0.0,none,CLF,0.07385068023747064,1.2859061694232476,True
108,0.0,none,FAMF,0.07381808136896673,1.4295473099786644,True
109,0.0,none,Baseline,6.202359138509802e-05,3.841180313912673e-05,True
109,0.0,none,CLF,-0.10690943197477747,1.1460711451113088,True
109,0.0,none,FAMF,-2.9901151120490976e-05,0.0,True
110,0.0,none,Baseline,0.04782300253335485,0.596239607929375,True
110,0.0,none,CLF,-0.1725327253014996,1.4328857923775509,True
110,0.0,none,FAMF,0.047862408471461476,0.5962861463083353,True
111,0.0,none,Baseline,0.034876816242490116,0.3145882524067023,True
111,0.0,none,CLF,0.034816855949666235,0.1370385179027256,True
111,0.0,none,FAMF,0.05474118820001194,0.7391894635049656,True
112,0.0,none,Baseline,-0.0062855766727124745,0.010126843648651018,True
112,0.0,none,CLF,-0.14551854751853208,1.4597427606157076,True
112,0.0,none,FAMF,-0.006350751897156023,0.010156940944932913,True
113,0.0,none,Baseline,-0.06482784872257649,1.053050389787007,True
113,0.0,none,CLF,-0.10832952053549644,1.229737436867394,True
113,0.0,none,FAMF,-0.057621414757013545,0.7997722409057353,True
114,0.0,none,Baseline,-0.04318354304179859,0.48532427406466283,True
114,0.0,none,CLF,-0.10868630981692377,1.078797772619403,True
114,0.0,none,FAMF,-0.0430099634324499,0.4854078216309805,True
115,0.0,none,Baseline,0.07235631349289628,1.3708032658658862,True
115,0.0,none,CLF,-0.06076726190122804,0.10599426515785915,True
115,0.0,none,FAMF,0.07256867195616686,1.3708412457030867,True
116,0.0,none,Baseline,-0.001224980233648205,0.00033881381002132116,True
116,0.0,none,CLF,-0.0010864076064516126,0.00036560350795866725,True
116,0.0,none,FAMF,-0.0013025174885145374,0.00038105676827626667,True
117,0.0,none,Baseline,0.11556874387041446,3.440996325285731,True
117,0.0,none,CLF,0.11558508020146795,0.943495649417839,True
117,0.0,none,FAMF,0.139295049377801,4.670602928511267,True
118,0.0,none,Baseline,-0.05857336707350261,0.8933002514732191,True
118,0.0,none,CLF,-0.1112104734527963,1.1499243399329675,True
118,0.0,none,FAMF,-0.05590872735457779,0.8010411492562373,True
119,0.0,none,Baseline,-0.07093083853394468,1.3437182627750293,True
119,0.0,none,CLF,-0.07098305637737969,1.3440819715438117,True
119,0.0,none,FAMF,-0.07092254084074606,1.3439207283029475,True
120,0.0,none,Baseline,0.03771674328087303,0.3795089035051138,True
120,0.0,none,CLF,0.037746283952549455,0.37610270217365915,True
120,0.0,none,FAMF,0.037664153828728356,0.3796059997411607,True
121,0.0,none,Baseline,-0.09149134727310103,2.1478793532624376,True
121,0.0,none,CLF,-0.24634405050140812,5.253271768284808,True
121,0.0,none,FAMF,-0.08198732390042764,1.6134780461340483,True
122,0.0,none,Baseline,0.01600111449486501,0.06389118618861644,True
122,0.0,none,CLF,0.01625799291742279,0.02761299243564963,True
